high,low
FR01,SRS01
FR01,SRS02
FR01,SRS03
FR01,SRS04
FR01,SRS05
FR01,SRS07
FR02,SRS04
FR02,SRS05
FR02,SRS06
FR02,SRS11
FR02,SRS21
FR02,SRS68
FR03,SRS07
FR04,SRS08
FR04,SRS09
FR04,SRS10
FR05,SRS11
FR05,SRS14
FR06,SRS11
FR06,SRS12
FR06,SRS14
FR07,SRS15
FR08,SRS16
FR09,SRS16
FR09,SRS18
FR10,SRS17
FR11,SRS19
FR12,SRS19
FR13,SRS20
FR14,SRS21
FR14,SRS22
FR14,SRS23
FR14,SRS24
FR14,SRS25
FR14,SRS26
FR15,SRS25
FR16,SRS21
FR16,SRS22
FR16,SRS23
FR16,SRS24
FR16,SRS25
FR16,SRS26
FR17,SRS27
FR17,SRS28
FR18,SRS29
FR18,SRS30
FR20,SRS31
FR20,SRS32
FR21,SRS34
FR21,SRS36
FR22,SRS37
FR23,SRS38
FR24,SRS39
FR24,SRS40
FR25,SRS41
FR25,SRS42
FR25,SRS43
FR26,SRS44
FR27,SRS45
FR27,SRS46
FR28,SRS47
FR29,SRS48
FR30,SRS49
FR31,SRS51
FR32,SRS52
FR33,SRS53
FR34,SRS54
FR35,SRS55
FR35,SRS56
FR36,SRS56
FR37,SRS57
FR38,SRS59
FR39,SRS51
FR39,SRS60
FR40,SRS61
FR41,SRS62
FR42,SRS63
FR42,SRS64
NFR01,SRS49
NFR02,SRS67
NFR03,SRS69
NFR03,SRS70
NFR03,SRS71
NFR03,SRS72
NFR03,SRS80
NFR03,SRS84
NFR03,SRS85
NFR03,SRS89
NFR04,SRS31
NFR04,SRS41
NFR04,SRS45
NFR04,SRS47
NFR04,SRS48
NFR04,SRS49
NFR04,SRS52
NFR04,SRS73
NFR04,SRS74
NFR05,SRS75
NFR06,SRS70
NFR06,SRS71
NFR06,SRS72
NFR08,SRS76
NFR09,SRS77
NFR10,SRS70
NFR10,SRS78
NFR11,SRS79
NFR11,SRS80
NFR12,SRS51
NFR12,SRS59
NFR12,SRS60
NFR12,SRS63
NFR14,SRS39
NFR14,SRS40
NFR15,SRS82
NFR15,SRS83
NFR15,SRS84
NFR16,SRS84
NFR16,SRS85
NFR17,SRS80
NFR17,SRS88
NFR17,SRS89
NFR18,SRS59
NFR19,SRS51
NFR19,SRS59
NFR19,SRS60
NFR20,SRS61
NFR20,SRS62
NFR20,SRS63
NFR20,SRS64
NFR21,SRS51
NFR21,SRS59
NFR21,SRS60
NFR21,SRS61
NFR21,SRS62
NFR21,SRS63
NFR21,SRS64
